gene_id,gene_name
ENSG00000012061.16,ERCC1
ENSG00000012124.17,CD22
ENSG00000012171.20,SEMA3B
ENSG00000012174.12,MBTPS2
ENSG00000012211.13,PRICKLE3
ENSG00000012223.13,LTF
ENSG00000012232.9,EXTL3
ENSG00000012504.15,NR1H4
ENSG00000012660.14,ELOVL5
ENSG00000012779.11,ALOX5
ENSG00000012817.16,KDM5D
ENSG00000012822.16,CALCOCO1
ENSG00000012963.15,UBR7
ENSG00000012983.11,MAP4K5
ENSG00000013016.16,EHD3
ENSG00000013275.8,PSMC4
ENSG00000013288.9,MAN2B2
ENSG00000013293.6,SLC7A14
ENSG00000013297.12,CLDN11
ENSG00000013306.16,SLC25A39
ENSG00000013364.19,MVP
ENSG00000013374.16,NUB1
ENSG00000013375.16,PGM3
ENSG00000013392.8,RWDD2A
ENSG00000013441.16,CLK1
ENSG00000013503.10,POLR3B
ENSG00000013523.11,ANGEL1
ENSG00000013561.18,RNF14
ENSG00000013563.14,DNASE1L1
ENSG00000013573.17,DDX11
ENSG00000013583.10,HEBP1
ENSG00000013588.9,GPRC5A
ENSG00000013619.14,MAMLD1
ENSG00000013725.14,CD6
ENSG00000013810.20,TACC3
ENSG00000014123.10,UFL1
ENSG00000014138.9,POLA2
ENSG00000014164.7,ZC3H3
ENSG00000014216.16,CAPN1
ENSG00000014257.16,ACP3
ENSG00000014641.21,MDH1
ENSG00000014824.14,SLC30A9
ENSG00000014914.21,MTMR11
ENSG00000014919.13,COX15
ENSG00000015133.19,CCDC88C
ENSG00000015153.15,YAF2
ENSG00000015171.20,ZMYND11
ENSG00000015285.11,WAS
ENSG00000015413.9,DPEP1
ENSG00000015475.19,BID
ENSG00000015479.20,MATR3
ENSG00000015520.15,NPC1L1
ENSG00000015532.10,XYLT2
ENSG00000015568.13,RGPD5
ENSG00000015592.16,STMN4
ENSG00000015676.18,NUDCD3
ENSG00000016082.15,ISL1
ENSG00000016391.11,CHDH
ENSG00000016402.13,IL20RA
ENSG00000016490.16,CLCA1
ENSG00000016602.9,CLCA4
ENSG00000016864.18,GLT8D1
ENSG00000017260.20,ATP2C1
ENSG00000017427.17,IGF1
ENSG00000017483.15,SLC38A5
ENSG00000017797.13,RALBP1
ENSG00000018189.13,RUFY3
ENSG00000018236.15,CNTN1
ENSG00000018280.17,SLC11A1
ENSG00000018408.15,WWTR1
ENSG00000018510.17,AGPS
ENSG00000018610.15,CXorf56
ENSG00000018625.15,ATP1A2
ENSG00000018699.13,TTC27
ENSG00000018869.17,ZNF582
ENSG00000019102.12,VSIG2
ENSG00000019144.19,PHLDB1
ENSG00000019169.10,MARCO
ENSG00000019186.10,CYP24A1
ENSG00000019485.13,PRDM11
ENSG00000019505.8,SYT13
ENSG00000019549.13,SNAI2
ENSG00000019582.15,CD74
ENSG00000019991.18,HGF
ENSG00000019995.6,ZRANB1
ENSG00000020129.16,NCDN
ENSG00000020181.18,ADGRA2
ENSG00000020256.20,ZFP64
ENSG00000020426.11,MNAT1
ENSG00000020577.14,SAMD4A
ENSG00000020633.19,RUNX3
ENSG00000020922.13,MRE11
ENSG00000021300.14,PLEKHB1
ENSG00000021355.13,SERPINB1
ENSG00000021461.17,CYP3A43
ENSG00000021488.13,SLC7A9
ENSG00000021574.13,SPAST
ENSG00000021645.20,NRXN3
ENSG00000021762.20,OSBPL5
ENSG00000021776.11,AQR
ENSG00000021826.17,CPS1
ENSG00000021852.13,C8B
ENSG00000022267.19,FHL1
ENSG00000022277.13,RTF2
ENSG00000022355.18,GABRA1
ENSG00000022556.16,NLRP2
ENSG00000022567.10,SLC45A4
ENSG00000022840.16,RNF10
ENSG00000022976.15,ZNF839
ENSG00000023041.11,ZDHHC6
ENSG00000023171.18,GRAMD1B
ENSG00000023191.17,RNH1
ENSG00000023228.14,NDUFS1
ENSG00000023287.13,RB1CC1
ENSG00000023318.8,ERP44
ENSG00000023330.15,ALAS1
ENSG00000023445.16,BIRC3
ENSG00000023516.9,AKAP11
ENSG00000023572.10,GLRX2
ENSG00000023608.5,SNAPC1
ENSG00000023697.13,DERA
ENSG00000023734.11,STRAP
ENSG00000023839.12,ABCC2
ENSG00000023892.11,DEF6
ENSG00000023902.14,PLEKHO1
ENSG00000023909.10,GCLM
ENSG00000024048.11,UBR2
ENSG00000024422.12,EHD2
ENSG00000024526.17,DEPDC1
ENSG00000024862.18,CCDC28A
ENSG00000025039.15,RRAGD
ENSG00000025156.13,HSF2
ENSG00000025293.17,PHF20
ENSG00000025423.11,HSD17B6
ENSG00000025434.19,NR1H3
ENSG00000025708.14,TYMP
ENSG00000025770.19,NCAPH2
ENSG00000025772.8,TOMM34
ENSG00000025796.14,SEC63
ENSG00000025800.14,KPNA6
ENSG00000026025.16,VIM
ENSG00000026036.22,RTEL1-TNFRSF6B
ENSG00000026103.22,FAS
ENSG00000026297.16,RNASET2
ENSG00000026508.20,CD44
ENSG00000026559.14,KCNG1
ENSG00000026652.15,AGPAT4
ENSG00000026751.17,SLAMF7
ENSG00000026950.17,BTN3A1
ENSG00000027001.10,MIPEP
ENSG00000027075.15,PRKCH
ENSG00000027644.5,INSRR
ENSG00000027697.15,IFNGR1
ENSG00000027847.14,B4GALT7
ENSG00000027869.12,SH2D2A
ENSG00000028116.18,VRK2
ENSG00000028137.19,TNFRSF1B
ENSG00000028203.18,VEZT
ENSG00000028277.21,POU2F2
ENSG00000028310.18,BRD9
ENSG00000028528.15,SNX1
ENSG00000028839.10,TBPL1
ENSG00000029153.14,ARNTL2
ENSG00000029363.17,BCLAF1
ENSG00000029364.12,SLC39A9
ENSG00000029534.21,ANK1
ENSG00000029559.7,IBSP
ENSG00000029639.11,TFB1M
ENSG00000029725.17,RABEP1
ENSG00000029993.15,HMGB3
ENSG00000030066.13,NUP160
ENSG00000030110.13,BAK1
ENSG00000030304.14,MUSK
ENSG00000030419.16,IKZF2
ENSG00000030582.18,GRN
ENSG00000031003.10,FAM13B
ENSG00000031081.11,ARHGAP31
ENSG00000031691.7,CENPQ
ENSG00000031698.13,SARS1
ENSG00000031823.14,RANBP3
ENSG00000032219.19,ARID4A
ENSG00000032389.13,EIPR1
ENSG00000032444.17,PNPLA6
ENSG00000032742.18,IFT88
ENSG00000033011.13,ALG1
ENSG00000033030.15,ZCCHC8
ENSG00000033050.9,ABCF2
ENSG00000033100.16,CHPF2
ENSG00000033122.21,LRRC7
ENSG00000033170.17,FUT8
ENSG00000033178.13,UBA6
ENSG00000033327.13,GAB2
ENSG00000033627.17,ATP6V0A1
ENSG00000033800.14,PIAS1
ENSG00000033867.16,SLC4A7
ENSG00000034053.14,APBA2
ENSG00000034152.19,MAP2K3
ENSG00000034239.11,EFCAB1
ENSG00000034510.6,TMSB10
ENSG00000034533.12,ASTE1
ENSG00000034677.13,RNF19A
ENSG00000034693.15,PEX3
